0,instnm,Total price for in-state students living on campus 2020-21 (DRVIC2020),Avg SAT
187,State University of New York at New Paltz,27020,1165
188,University of North Carolina at Asheville,20858,1165
189,The University of Tampa,48040,1160
190,Iowa State University,21940,1160
191,Mississippi State University,25904,1160
192,SUNY Cortland,25637,1160
193,John Carroll University,61716,1160
194,Whitworth University,62890,1160
195,University of Missouri-Kansas City,26219,1157.5
196,California Lutheran University,64692,1155
197,Adelphi University,63605,1155
198,CUNY City College,30721,1155
199,Le Moyne College,53070,1155
200,Appalachian State University,20192,1155
201,High Point University,57268,1155
202,Xavier University,60270,1155
203,College of Charleston,31153,1155
204,Virginia Commonwealth University,32997,1155
205,University of Washington-Bothell Campus,29613,1155
206,Samford University,51314,1150
207,Bellarmine University,61080,1150
208,Pace University,69804,1150
209,Saint John Fisher College,50300,1150
210,Baldwin Wallace University,54350,1150
211,Ohio University-Main Campus,30764,1150
212,Tennessee Technological University,25166,1150
213,Loyola University New Orleans,60284,1145
214,McNeese State University,23004,1145
215,University of Minnesota-Duluth,25518,1145
216,Rowan University,34911,1145
217,Carroll University,48234,1141.5
218,University of Redlands,71624,1140
219,North Central College,55884,1140
220,University of Wyoming,20790,1140
221,North Dakota State University-Main Campus,23246,1135.5
222,University of New Haven,61449,1135
223,Nova Southeastern University,54912,1135
224,University of New Orleans,24747,1135
225,Robert Morris University,49092,1135
226,Flagler College,37480,1130
227,University of Northern Iowa,21294,1130
228,Minnesota State University Moorhead,22996,1130
229,Ramapo College of New Jersey,34216,1130
230,West Virginia University,24124,1130
231,Murray State University,24295,1125
232,Monmouth University,60629,1125
233,The University of Texas at Tyler,22756,1125
234,Widener University,65390,1122.5
235,Illinois State University,31753,1120
236,Towson University,28680,1120
237,University of Mississippi,25762,1120
238,Rider University,65360,1120
239,Western Carolina University,18874,1120
240,The University of Findlay,49569,1120
241,Citadel Military College of South Carolina,30400,1120
242,St. Mary's University,49100,1120
243,Shenandoah University,48810,1120
244,University of Hartford,61022,1115
245,Augusta University,26450,1115
246,Lewis University,49258,1115
247,Southern Illinois University-Edwardsville,25921,1115
248,CUNY Queens College,30043,1115
249,University of North Dakota,24498,1115
250,Bowling Green State University-Main Campus,27021,1115
251,Abilene Christian University,53672,1115
252,Carthage College,47600,1115
253,Trine University,49570,1110
254,St. Joseph's College-New York,0,1110
255,Campbell University,54331,1110
256,The University of Tennessee-Chattanooga,24606,1110
257,Niagara University,49890,1107.5
258,Suffolk University,62760,1106.5
259,Palm Beach Atlantic University,52538,1105
260,University of Idaho,21820,1105
261,Indiana Wesleyan University-Marion,40670,1105
262,University of Louisiana at Lafayette,27062,1105
263,Central Michigan University,26416,1105
264,SUNY at Fredonia,24872,1105
265,SUNY College at Oswego,25254,1105
266,Stockton University,30323,1101.5
267,CUNY Brooklyn College,0,1100
268,Gannon University,52561,1100
269,University of Pittsburgh-Johnstown,29794,1100
270,Coastal Carolina University,26176,1100
271,Worcester State University,26222,1095
272,Oakland University,28388,1095
273,Iona College,61138,1095
274,Millersville University of Pennsylvania,29321,1095
275,West Chester University of Pennsylvania,28169,1095
276,University of Mary Hardin-Baylor,44214,1095
277,Texas Woman's University,22086,1091.5
278,University of Northern Colorado,25676,1090
279,University of Connecticut-Hartford Campus,0,1090
280,Florida Agricultural and Mechanical University,23393,1090
281,University of Massachusetts-Dartmouth,32857,1090
282,University of Michigan-Flint,26438,1090
283,Rutgers University-Newark,33355,1090
284,CUNY John Jay College of Criminal Justice,37029,1090
285,Southern Oregon University,29035,1090
286,York College of Pennsylvania,36640,1090
287,Dallas Baptist University,44825,1090
288,Houston Baptist University,48126,1090
289,MCPHS University,57042,1089
290,University of South Alabama,22866,1086.5
291,Lindenwood University,31500,1085
292,Northwest Missouri State University,20745,1085
293,Lee University,32675,1085
294,Seattle Pacific University,64644,1085
295,University of Arkansas at Little Rock,24837,1080
296,Humboldt State University,25558,1080
297,Olivet Nazarene University,49640,1080
298,Western Kentucky University,23932,1080
299,Nicholls State University,23734,1080
300,Saginaw Valley State University,23948,1080
301,SUNY Brockport,24948,1080
302,Charleston Southern University,42960,1080
303,University of Southern Indiana,22299,1075
304,Saint Ambrose University,48714,1075
305,Xavier University of Louisiana,39432,1075
306,Rutgers University-Camden,32492,1075
307,SUNY College at Plattsburgh,26814,1075
308,Youngstown State University,23928,1075
309,Mount St. Mary's University,59980,1073
310,Farmingdale State College,25095,1070
311,University of North Carolina at Greensboro,20155,1070
312,University of Washington-Tacoma Campus,28407,1070
313,Point Park University,49460,1066.5
314,Hawaii Pacific University,52020,1065
315,University of Indianapolis,47752,1065
316,Slippery Rock University of Pennsylvania,24572,1065
317,Stephen F Austin State University,25118,1065
318,California State University-Monterey Bay,24185,1060
319,Fort Lewis College,25619,1060
320,Central Connecticut State University,28074,1060
321,University of Connecticut-Stamford,35812,1060
322,Aurora University,40658,1060
323,Edinboro University of Pennsylvania,24738,1060
324,University of South Carolina Aiken,22781,1060
325,University of Southern Maine,23252,1059
326,University of Mount Union,46035,1057.5
327,Augsburg University,54591,1056.5
328,California Baptist University,50734,1055
329,University of La Verne,64272,1055
330,Southern Illinois University-Carbondale,29767,1055
331,Curry College,61810,1055
332,Cleveland State University,28445,1055
333,East Tennessee State University,25067,1055
334,Texas A & M University-Commerce,23976,1052.5
335,University of Central Arkansas,21943,1050
336,Sonoma State University,26724,1050
337,University of California-Merced,36700,1050
338,Eastern Illinois University,25082,1050
339,Husson University,33554,1050
340,Westfield State University,26020,1050
341,Ferris State University,25263,1050
342,New Mexico State University-Main Campus,23040,1050
343,Longwood University,29684,1050
344,Vanguard University of Southern California,50220,1045
345,Winona State University,22630,1045
346,North Carolina A & T State University,18487,1045
347,Shippensburg University of Pennsylvania,29922,1045
348,Winthrop University,30030,1045
349,University of the Incarnate Word,49815,1045
350,Marshall University,22543,1042.5
351,Framingham State University,27880,1040
352,Northeastern State University,18541,1040
353,Saint Xavier University,49556,1035
354,University of the Cumberlands,24884,1035
355,Kutztown University of Pennsylvania,28612,1035
356,University of Nebraska at Kearney,24078,1030
357,Lock Haven University,27595,1030
358,SUNY College of Technology at Canton,25792,1025
359,Texas A&M University-San Antonio,25837,1025
360,West Texas A & M University,21806,1025
361,Adrian College,56060,1023.5
362,Frostburg State University,25170,1020
363,CUNY Lehman College,29205,1020
364,Mercy College,40152,1020
365,California University of Pennsylvania,27526,1020
366,Angelo State University,22017,1020
367,SUNY Oneonta,26262,1015.5
368,SUNY College at Old Westbury,24112,1015
369,Lander University,26240,1015
370,Colorado State University Pueblo,26677,1010
371,Kean University,30198,1010
372,Texas A & M International University,20921,1010
373,Henderson State University,26192,1007.5
374,California State University-Northridge,23317,1005
375,East Stroudsburg University of Pennsylvania,27021,1005
376,Texas A & M University-Kingsville,23850,1005
377,Fairmont State University,20468,1005
378,Auburn University at Montgomery,20870,1000
379,SUNY College of Agriculture and Technology at Cobleskill,26459,1000
380,University of North Carolina at Pembroke,18862,1000
381,Francis Marion University,24244,1000
382,University of South Carolina-Upstate,25418,995
383,Morgan State University,24187,990
384,Western Illinois University,26544,985
385,Rhode Island College,25388,985
386,Eastern Washington University,25218,985
387,Jackson State University,25217,970
388,Winston-Salem State University,20825,965
389,Clark Atlanta University,38413,960
390,CUNY York College,0,960
391,St Francis College,47998,960
392,SUNY Buffalo State,25922,960
393,SUNY Morrisville,27270,960
394,Jacksonville State University,22429,955
395,Alabama State University,22110,946.5
396,Claflin University,33676,940
397,Bowie State University,24020,935
398,Alabama A & M University,23954,930
399,North Carolina Central University,25048,930
400,Norfolk State University,26710,930
401,Fayetteville State University,17556,920
402,Savannah State University,17414,912.5
403,Delaware State University,25876,910
404,Bethune-Cookman University,30540,910
405,Virginia State University,23673,910
